,,
,Printing Speed,"Up to 13,000 sheets/hour"
,Plate Type,Aluminum CTP / Conventional Offset Plate
,Plate size,Approx. 790 × 1030 mm
,Blanket Type,Compressible Rubber Offset Blanket
,Make Ready time,20–30 minutes (depends on job change)
,Washup time,10 minutes
,Plate cost per Plate,
,Minimum Printing Cost,
,Subsequent Printing Cost,
,Location,Bantala
,,
,,
,Field,Details
B. DARPAN,Machine ID,M008
,Machine Name,Heidelberg Speedmaster 74
,Machine Type,Sheet-Fed Offset Printing Machine
,Brand,Heidelberg
,Model,Speedmaster SM 74 
,Printing Colors,4 COLOR
,Coater Available,no
,Maximum Sheet Size,530 × 740 mm
,Minimum Sheet Size,210 × 280 mm
,Maximum Print Area,510 × 740 mm
,Gripper Margin,8–10 mm
,Printing Speed,"Up to 12,000 Sheets/Hour"
,Plate Type,Aluminum CTP / Conventional Offset Plate
,Plate Size,605 × 745 mm
,Blanket Type,Compressible Rubber Blanket
,Make Ready Time,20-30 Minutes
,Washup Time,10 Minutes
,Plate Cost per Plate,
,Minimum Printing Cost,
,Subsequent Printing Cost,
,Location,BANTALA
,,
,,
,,
,Field,Details
A. FLORENCE OFFSET PVT LTD.,Machine ID,M009
,machine size,18 x 25
,Machine Name,Mitsubishi Daiya 18×25
,Machine Type,Sheet-Fed Offset Printing Machine
,Brand,Mitsubishi Heavy Industries
,Model,Daiya Series 18×25
,Printing Colors,1 Color
,Coater Available,No (generally not available in this model)
,Maximum Sheet Size,"457 × 635 mm (18"" × 25"")"
,Minimum Sheet Size,Approx. 180 × 250 mm
,Maximum Print Area,Approx. 450 × 620 mm
,Gripper Margin,10–12 mm
,Printing Speed,"5,000 – 8,000 sheets/hour"
,Plate Type,Aluminum Offset Plate (CTP or conventional)
,Plate Size,470x600 mm
,Blanket Type,Compressible Rubber Blanket
,Make Ready Time,20 – 40 minutes
,Washup Time,5 – 10 minutes
,Plate Cost per Plate,
,Minimum Printing Cost,
,Subsequent Printing Cost,
,Location,Esplanade
